Manche;Nom;Vie;Dégâts;Vitesse
8;GiantEnfant;215,51;35,24;0,90
8;GiantEnfant;219,86;37,39;0,95
8;GiantEnfant;199,10;35,92;1,15
8;GiantEnfant;194,37;37,25;1,12
8;GiantEnfant;189,48;36,46;0,88
8;GiantEnfant;223,37;35,86;1,14
8;GiantEnfant;214,48;37,86;0,85
8;GiantEnfant;183,03;38,98;0,87
8;GiantEnfant;201,25;36,44;1,20
8;GiantEnfant;199,03;36,93;1,13
8;GiantEnfant;226,27;34,70;0,96
8;GiantEnfant;210,82;33,48;1,06
8;GiantEnfant;223,56;35,80;0,87
8;GiantEnfant;222,17;35,35;1,16
8;GiantEnfant;215,23;34,99;1,10
9;GiantEnfant;223,21;37,27;0,84
9;GiantEnfant;186,56;38,13;0,84
9;GiantEnfant;226,13;35,33;0,97
9;GiantEnfant;218,76;37,27;0,82
9;GiantEnfant;192,38;36,10;1,14
9;GiantEnfant;209,96;36,90;0,89
9;GiantEnfant;208,05;34,28;1,10
9;GiantEnfant;227,79;35,71;0,93
9;GiantEnfant;205,08;36,83;1,17
9;GiantEnfant;188,19;37,83;0,85
9;GiantEnfant;223,52;37,75;0,95
9;GiantEnfant;189,15;39,68;1,19
9;GiantEnfant;217,30;38,60;0,85
9;GiantEnfant;217,20;37,34;1,19
9;GiantEnfant;220,55;36,49;1,06
9;GiantEnfant;205,84;37,07;0,88
9;GiantEnfant;191,52;33,86;1,17
9;GiantEnfant;181,69;39,67;0,85
9;GiantEnfant;213,84;36,33;0,95
9;GiantEnfant;219,25;35,48;1,16
10;GiantEnfant;194,50;40,09;1,16
10;GiantEnfant;190,75;34,54;1,18
10;GiantEnfant;182,81;39,74;0,81
10;GiantEnfant;183,87;36,39;1,12
10;GiantEnfant;229,67;38,63;0,81
10;GiantEnfant;220,01;35,70;0,86
10;GiantEnfant;226,95;37,23;0,95
10;GiantEnfant;229,97;37,12;1,11
10;GiantEnfant;206,87;38,42;1,23
10;GiantEnfant;217,44;39,01;1,19
10;GiantEnfant;220,45;37,48;0,85
10;GiantEnfant;186,75;37,71;1,22
10;GiantEnfant;189,62;36,14;0,89
10;GiantEnfant;218,15;37,37;1,12
10;GiantEnfant;188,22;36,53;1,12
10;GiantEnfant;208,83;36,85;0,85
10;GiantEnfant;195,15;34,59;1,17
10;GiantEnfant;214,52;40,52;1,18
10;GiantEnfant;183,01;36,63;1,14
10;GiantEnfant;186,23;32,71;1,12
11;GiantEnfant;215,66;41,47;1,13
11;GiantEnfant;197,12;35,06;1,18
11;GiantEnfant;226,47;38,04;1,17
11;GiantEnfant;190,31;38,01;0,81
11;GiantEnfant;184,38;36,19;1,12
11;GiantEnfant;225,13;37,20;0,82
11;GiantEnfant;226,00;38,89;0,95
11;GiantEnfant;206,75;39,57;1,22
11;GiantEnfant;178,93;34,08;1,07
11;GiantEnfant;187,12;37,89;1,19
11;GiantEnfant;209,23;34,05;0,90
11;GiantEnfant;212,05;42,16;1,14
11;GiantEnfant;179,22;32,64;0,78
11;GiantEnfant;222,00;36,86;1,17
11;GiantEnfant;181,21;33,72;1,10
11;GiantEnfant;175,58;36,06;1,11
11;GiantEnfant;211,09;41,28;1,26
11;GiantEnfant;211,39;39,14;1,19
11;GiantEnfant;176,61;41,72;0,84
11;GiantEnfant;209,30;36,50;1,18
12;GiantEnfant;189,98;34,17;1,22
12;GiantEnfant;227,98;37,62;1,20
12;GiantEnfant;178,31;37,69;1,08
12;GiantEnfant;223,11;36,96;1,13
12;GiantEnfant;198,72;39,06;0,80
12;GiantEnfant;175,96;35,94;1,12
12;GiantEnfant;214,19;36,89;0,84
12;GiantEnfant;233,04;39,61;0,98
12;GiantEnfant;187,19;32,49;0,80
12;GiantEnfant;187,38;34,04;1,07
12;GiantEnfant;186,06;38,80;1,15
12;GiantEnfant;232,48;36,25;1,11
12;GiantEnfant;189,18;36,95;0,81
12;GiantEnfant;224,85;34,11;1,22
12;GiantEnfant;180,97;34,25;0,86
12;GiantEnfant;234,95;38,79;0,83
12;GiantEnfant;218,05;39,11;1,16
12;GiantEnfant;201,44;39,64;0,91
12;GiantEnfant;170,08;34,83;1,08
12;GiantEnfant;233,56;37,77;0,84
13;GiantEnfant;232,67;39,50;0,80
13;GiantEnfant;175,29;33,96;0,90
13;GiantEnfant;199,82;37,88;0,82
13;GiantEnfant;175,29;35,41;1,09
13;GiantEnfant;183,38;34,63;1,10
13;GiantEnfant;205,51;38,04;0,87
13;GiantEnfant;246,47;39,90;0,81
13;GiantEnfant;227,01;40,21;1,01
13;GiantEnfant;194,09;34,70;1,18
13;GiantEnfant;220,90;39,07;1,15
13;GiantEnfant;185,63;35,83;0,96
13;GiantEnfant;204,94;36,99;1,15
13;GiantEnfant;235,59;34,20;0,94
13;GiantEnfant;230,51;39,43;0,84
13;GiantEnfant;204,40;36,45;0,81
13;GiantEnfant;197,55;38,06;0,83
13;GiantEnfant;180,79;35,04;1,28
13;GiantEnfant;168,16;38,09;1,07
13;GiantEnfant;213,25;38,28;0,80
13;GiantEnfant;210,15;37,65;0,77
14;GiantEnfant;231,86;40,97;0,79
14;GiantEnfant;220,08;36,72;0,77
14;GiantEnfant;220,17;41,26;0,87
14;GiantEnfant;204,99;37,59;0,83
14;GiantEnfant;173,76;34,21;1,14
14;GiantEnfant;214,95;37,61;1,20
14;GiantEnfant;181,97;33,86;1,09
14;GiantEnfant;215,30;36,73;0,86
14;GiantEnfant;226,48;38,45;1,06
14;GiantEnfant;183,16;35,61;0,92
14;GiantEnfant;222,15;39,23;1,05
14;GiantEnfant;224,21;38,36;1,06
14;GiantEnfant;229,50;40,45;0,87
14;GiantEnfant;194,60;39,36;0,83
14;GiantEnfant;195,09;40,80;0,85
14;GiantEnfant;201,58;33,22;1,13
14;GiantEnfant;230,00;39,32;1,10
14;GiantEnfant;214,08;38,60;1,16
14;GiantEnfant;223,48;38,39;0,79
14;GiantEnfant;231,80;38,96;0,81
15;GiantEnfant;229,11;38,14;1,10
15;GiantEnfant;216,34;38,35;1,03
15;GiantEnfant;220,66;40,01;0,80
15;GiantEnfant;203,44;39,35;0,82
15;GiantEnfant;210,55;38,97;0,84
15;GiantEnfant;166,81;33,69;1,15
15;GiantEnfant;175,50;34,84;1,14
15;GiantEnfant;220,87;36,58;0,88
15;GiantEnfant;233,08;39,16;1,11
15;GiantEnfant;227,89;36,94;1,04
15;GiantEnfant;226,59;36,49;1,03
15;GiantEnfant;232,35;39,41;0,76
15;GiantEnfant;220,32;39,06;1,11
15;GiantEnfant;176,86;39,53;0,86
15;GiantEnfant;227,67;32,40;1,05
15;GiantEnfant;232,05;37,42;1,03
